=== LAP SUMMARY ===
Lap,Lap Time,Sector 1,Sector 2,Sector 3,Max Speed (km/h),Avg Speed (km/h),Max Throttle (%),Max Brake (%),Max RPM,Avg RPM,ABS Events,TC Events
1,1:29.898,0:30.000,0:30.000,0:29.898,285.5,192.2,100.0,99.2,7962,5911,142,371
2,1:30.050,--:--.---,--:--.---,1:30.050,220.6,220.6,72.2,0.0,6777,6777,0,0
2,1:29.988,0:30.000,0:30.000,0:29.988,288.5,198.7,100.0,99.5,8000,6027,137,392


=== RAW TELEMETRY ===
lap,dist_m,lap_time,speed_kmh,throttle_%,brake_%,steer_deg,rpm,gear,abs_%,tc_%
1,2.9,0:00.052,160.0,49.5,0.0,3.16,5587,4,0.0,0.0
1,8.5,0:00.153,160.0,49.2,0.0,9.28,5645,4,0.0,0.0
1,14.2,0:00.256,160.0,49.0,0.0,15.49,5690,4,0.0,0.0
1,19.9,0:00.358,160.0,48.8,0.0,21.58,5721,4,0.0,0.0
1,25.5,0:00.459,160.0,48.6,0.0,27.54,5737,4,0.0,0.0
1,31.2,0:00.562,160.0,48.4,0.0,33.51,5737,4,0.0,0.0
1,36.9,0:00.664,160.0,48.3,0.0,39.3,5721,4,0.0,0.0
1,42.5,0:00.765,160.0,48.1,0.0,44.9,5690,4,0.0,0.0
1,50.9,0:00.917,160.0,47.9,0.0,53.02,5617,4,0.0,0.0
1,56.7,0:01.020,160.0,47.7,0.0,58.29,5555,4,0.0,0.0
1,62.3,0:01.122,160.0,47.6,0.0,63.29,5484,4,0.0,0.0
1,68.0,0:01.224,160.0,47.5,0.0,68.08,5407,4,0.0,0.0
1,73.7,0:01.327,160.0,47.4,0.0,72.66,5327,4,0.0,0.0
1,79.3,0:01.428,160.0,47.3,0.0,76.91,5248,4,0.0,0.0
1,85.1,0:01.531,160.0,47.2,0.0,80.97,5172,4,0.0,0.0
1,90.7,0:01.632,160.0,47.1,0.0,84.67,5103,4,0.0,0.0
1,99.2,0:01.786,160.0,47.1,0.0,89.77,5018,4,0.0,0.0
1,104.8,0:01.887,160.0,47.0,0.0,92.73,4977,4,0.0,0.0
1,110.6,0:01.990,160.0,47.0,0.0,95.45,4950,4,0.0,0.0
1,116.2,0:02.091,160.0,47.0,0.0,97.8,4939,4,0.0,0.0
1,121.9,0:02.194,160.0,47.0,0.0,99.87,4944,4,0.0,0.0
1,130.3,0:02.346,160.0,47.0,0.0,102.33,4980,4,0.0,0.0
1,136.1,0:02.449,160.0,47.1,0.0,103.59,5022,4,0.0,0.0
1,141.7,0:02.551,160.0,47.1,0.0,104.51,5077,4,0.0,0.0
1,147.4,0:02.653,160.0,47.2,0.0,105.12,5143,4,0.0,0.0
1,153.1,0:02.755,160.0,47.3,0.0,105.41,5216,4,0.0,0.0
1,158.7,0:02.857,160.0,47.3,0.0,105.39,5294,4,0.0,0.0
1,164.4,0:02.960,160.0,47.4,0.0,105.07,5374,4,0.0,0.0
1,170.1,0:03.062,160.0,47.5,0.0,104.46,5452,4,0.0,0.0
1,175.7,0:03.163,160.0,47.7,0.0,103.57,5526,4,0.0,0.0
1,181.4,0:03.266,160.0,47.8,0.0,102.4,5593,4,0.0,0.0
1,187.1,0:03.367,160.0,47.9,0.0,101.0,5649,4,0.0,0.0
1,195.6,0:03.521,160.0,59.8,40.2,98.4,5710,4,0.0,0.0
1,201.2,0:03.622,160.0,57.6,42.4,96.43,5732,4,0.0,0.0
1,206.9,0:03.725,160.0,55.3,44.7,94.21,5739,4,0.0,0.0
1,212.6,0:03.827,160.0,53.0,47.0,91.82,5729,4,0.0,0.0
1,218.3,0:03.929,160.0,50.7,49.3,89.27,5704,4,0.0,0.0
1,223.9,0:04.031,160.0,48.5,51.5,86.57,5665,4,0.0,0.0
1,229.6,0:04.132,160.0,46.2,53.8,83.77,5613,4,0.0,0.0
1,235.3,0:04.235,160.0,43.9,56.1,80.8,5549,4,0.0,0.0
1,243.7,0:04.387,154.4,40.6,59.4,76.27,5340,3,0.0,0.0
1,249.4,0:04.490,149.6,38.3,61.7,73.12,5176,3,21.0,0.0
1,255.1,0:04.592,144.9,36.0,64.0,69.97,5012,3,32.7,0.0
1,260.7,0:04.693,140.2,33.8,66.2,66.83,4852,3,41.1,0.0
1,266.4,0:04.796,135.4,31.5,68.5,63.64,4695,3,43.5,0.0
1,274.9,0:04.949,128.3,28.1,71.9,58.96,4477,3,39.1,0.0
1,280.6,0:05.051,123.6,25.8,74.2,55.9,4346,3,36.9,0.0
1,286.3,0:05.154,118.8,23.5,76.5,52.9,4228,3,40.1,0.0
1,291.9,0:05.255,114.1,21.3,78.7,50.05,4127,3,48.9,0.0
1,297.7,0:05.358,109.3,19.0,81.0,47.27,4040,3,60.8,0.0
1,303.3,0:05.459,104.6,16.7,83.3,44.67,3971,3,70.8,0.0
1,309.0,0:05.562,99.8,14.4,85.6,42.17,3916,2,75.5,0.0
1,314.7,0:05.664,95.1,12.2,87.8,39.86,3875,2,74.4,0.0
1,320.3,0:05.766,90.4,9.9,90.1,37.74,3847,2,70.7,0.0
1,326.1,0:05.869,85.6,7.6,92.4,35.8,3828,2,69.1,0.0
1,331.7,0:05.971,80.8,5.4,94.6,34.08,3818,2,73.1,0.0
1,337.3,0:06.072,76.2,3.1,96.9,32.6,3813,2,82.7,0.0
1,343.1,0:06.175,71.4,0.8,99.2,31.33,3808,2,94.6,0.0
1,348.7,0:06.277,72.7,1.4,98.6,30.31,3909,2,98.8,0.0
1,354.3,0:06.378,77.4,3.7,96.3,29.54,4066,2,94.4,0.0
1,362.8,0:06.531,84.5,7.1,92.9,28.85,4287,2,78.5,0.0
1,368.6,0:06.634,89.3,9.4,90.6,28.72,4421,2,67.4,0.0
1,374.2,0:06.736,94.0,11.6,88.4,28.85,4541,2,61.1,0.0
1,379.8,0:06.837,98.7,13.9,86.1,29.24,4645,2,60.8,0.0
1,385.5,0:06.939,103.4,16.2,83.8,29.9,4735,2,64.3,0.0
1,391.2,0:07.042,108.2,18.4,81.6,30.83,4809,3,66.8,0.0
1,396.9,0:07.144,112.9,20.7,79.3,32.01,4867,3,64.6,0.0
1,402.6,0:07.246,117.7,23.0,77.0,33.43,4910,3,56.3,0.0
1,408.3,0:07.349,122.5,25.3,74.7,35.13,4942,3,44.6,0.0
1,416.7,0:07.501,129.5,28.6,71.4,38.06,4967,3,30.6,0.0
1,422.4,0:07.604,134.3,30.9,69.1,40.33,4977,3,28.2,0.0
1,428.1,0:07.705,139.0,33.2,66.8,42.77,4981,3,30.8,0.0
1,433.8,0:07.808,143.8,35.5,64.5,45.45,4986,3,34.2,0.0
1,439.4,0:07.910,148.5,37.7,62.3,48.29,4993,3,34.0,0.0
1,448.0,0:08.064,155.7,41.2,58.8,52.9,5016,3,0.0,0.0
1,453.7,0:08.166,160.4,43.4,56.6,56.13,5042,4,0.0,0.0
1,459.3,0:08.267,165.1,45.7,54.3,59.46,5080,4,0.0,0.0
1,465.0,0:08.370,169.9,48.0,52.0,62.96,5133,4,0.0,0.0
1,473.4,0:08.522,176.9,51.3,48.7,68.29,5239,4,0.0,0.0
1,479.2,0:08.625,181.7,53.6,46.4,71.98,5331,4,0.0,0.0
1,484.8,0:08.727,186.5,55.9,44.1,75.68,5438,4,0.0,0.0
1,490.4,0:08.828,191.1,58.1,41.9,79.35,5559,4,0.0,0.0
1,499.0,0:08.982,279.5,71.1,0.0,84.95,7207,6,0.0,0.0
1,504.6,0:09.083,280.6,71.6,0.0,88.57,7294,6,0.0,0.0
1,510.3,0:09.186,281.7,72.1,0.0,92.22,7387,6,0.0,0.0
1,518.8,0:09.339,283.0,72.9,0.0,97.47,7530,6,0.0,0.0
1,524.5,0:09.441,283.8,73.6,0.0,100.85,7623,6,0.0,0.0
1,530.2,0:09.543,284.4,74.3,0.0,104.09,7709,6,0.0,0.0
1,535.9,0:09.646,284.9,75.1,0.0,107.21,7787,6,0.0,10.0
1,544.4,0:09.799,285.4,76.3,0.0,111.53,7881,6,0.0,10.0
1,550.0,0:09.900,285.5,77.2,0.0,114.13,7925,6,0.0,10.0
1,555.7,0:10.003,285.5,78.1,0.0,116.58,7952,6,0.0,10.0
1,561.4,0:10.105,285.3,79.0,0.0,118.76,7962,6,0.0,10.0
1,567.0,0:10.206,285.0,80.0,0.0,120.69,7952,6,0.0,10.0
1,575.6,0:10.360,284.3,81.5,0.0,123.12,7905,6,0.0,10.0
1,581.2,0:10.462,283.7,82.5,0.0,124.38,7852,6,0.0,10.0
1,586.8,0:10.563,283.0,83.6,0.0,125.34,7785,6,0.0,10.0
1,592.4,0:10.664,282.2,84.6,0.0,126.0,7706,6,0.0,10.0
1,598.2,0:10.767,281.3,85.7,0.0,126.36,7617,6,0.0,10.0
1,603.8,0:10.869,280.4,86.7,0.0,126.4,7523,6,0.0,10.0
1,609.5,0:10.971,279.4,87.8,0.0,126.11,7426,6,0.0,10.0
1,618.1,0:11.125,277.9,89.3,0.0,125.06,7282,6,0.0,10.0
1,623.7,0:11.226,276.9,90.3,0.0,123.95,7194,6,0.0,10.0
1,629.4,0:11.329,275.9,91.3,0.0,122.49,7114,6,0.0,10.0
1,635.0,0:11.430,274.9,92.2,0.0,120.72,7046,6,0.0,10.0
1,640.7,0:11.533,274.0,93.1,0.0,118.59,6992,6,0.0,10.0
1,646.4,0:11.635,273.2,94.0,0.0,116.15,6954,6,0.0,10.0
1,654.9,0:11.788,272.1,95.2,0.0,111.9,6929,6,0.0,10.0
1,660.6,0:11.890,271.4,95.9,0.0,108.67,6935,6,0.0,10.0
1,666.2,0:11.991,270.9,96.6,0.0,105.19,6957,6,0.0,10.0
1,671.9,0:12.094,270.5,97.2,0.0,101.34,6995,6,0.0,10.0
1,680.4,0:12.247,270.1,98.1,0.0,95.11,7079,6,0.0,10.0
1,686.1,0:12.349,270.0,98.6,0.0,90.63,7149,6,0.0,10.0
1,691.7,0:12.450,270.0,99.0,0.0,85.96,7226,6,0.0,10.0
1,697.4,0:12.553,270.1,99.3,0.0,80.97,7308,6,0.0,10.0
1,703.1,0:12.655,270.4,99.6,0.0,75.82,7391,6,0.0,10.0
1,711.6,0:12.808,271.0,99.9,0.0,67.75,7512,6,0.0,10.0
1,717.2,0:12.910,271.5,100.0,0.0,62.17,7585,6,0.0,10.0
1,722.9,0:13.013,272.0,100.0,0.0,56.39,7649,6,0.0,10.0
1,728.6,0:13.115,272.7,99.9,0.0,50.55,7701,6,0.0,10.0
1,734.2,0:13.216,273.4,99.8,0.0,44.67,7740,6,0.0,10.0
1,739.9,0:13.319,274.1,99.6,0.0,38.6,7763,6,0.0,10.0
1,748.4,0:13.472,275.3,99.2,0.0,29.49,7770,6,0.0,10.0
1,754.1,0:13.574,276.1,98.8,0.0,23.38,7755,6,0.0,10.0
1,759.8,0:13.677,276.8,98.4,0.0,17.22,7725,6,0.0,10.0
1,765.5,0:13.779,277.5,97.9,0.0,11.15,7682,6,0.0,10.0
1,773.9,0:13.931,278.5,97.0,0.0,2.2,7598,6,0.0,10.0
1,779.7,0:14.034,279.0,96.3,0.0,-3.77,7531,6,0.0,10.0
1,785.3,0:14.136,279.5,95.6,0.0,-9.58,7460,6,0.0,10.0
1,790.9,0:14.237,279.8,94.9,0.0,-15.21,7386,6,0.0,10.0
1,796.7,0:14.340,280.0,94.0,0.0,-20.8,7314,6,0.0,10.0
1,805.1,0:14.492,280.1,92.7,0.0,-28.75,7214,6,0.0,10.0
1,810.8,0:14.594,280.0,91.8,0.0,-33.85,7156,6,0.0,10.0
1,816.5,0:14.697,279.8,90.9,0.0,-38.8,7108,6,0.0,10.0
1,822.1,0:14.798,279.4,89.9,0.0,-43.42,7072,6,0.0,10.0
1,830.7,0:14.952,278.5,88.4,0.0,-50.02,7042,6,0.0,10.0
1,836.3,0:15.054,277.8,87.3,0.0,-54.07,7039,6,0.0,10.0
1,841.9,0:15.155,276.9,86.3,0.0,-57.82,7049,6,0.0,10.0
1,847.7,0:15.258,275.9,85.2,0.0,-61.36,7071,6,0.0,10.0
1,856.1,0:15.410,274.2,83.7,0.0,-66.04,7124,6,0.0,10.0
1,861.8,0:15.513,272.9,82.6,0.0,-68.83,7169,6,0.0,10.0
1,867.4,0:15.614,271.5,81.6,0.0,-71.27,7220,6,0.0,10.0
1,873.1,0:15.716,270.1,80.6,0.0,-73.43,7274,6,0.0,10.0
1,881.7,0:15.870,267.8,79.1,0.0,-76.1,7352,6,0.0,10.0
1,887.3,0:15.971,266.3,78.2,0.0,-77.46,7400,6,0.0,10.0
1,892.9,0:16.073,264.7,77.2,0.0,-78.54,7440,6,0.0,10.0
1,898.7,0:16.176,263.1,76.4,0.0,-79.31,7471,6,0.0,10.0
1,907.2,0:16.329,260.9,75.1,0.0,-79.89,7494,6,0.0,10.0
1,912.8,0:16.431,259.4,74.4,0.0,-79.92,7493,5,0.0,0.0
1,918.6,0:16.534,258.0,73.6,0.0,-79.66,7477,5,0.0,0.0
1,924.2,0:16.636,256.7,73.0,0.0,-79.12,7447,5,0.0,0.0
1,932.7,0:16.789,254.9,72.1,0.0,-77.83,7376,5,0.0,0.0
1,938.4,0:16.891,253.8,71.6,0.0,-76.67,7312,5,0.0,0.0
1,944.1,0:16.994,252.8,71.2,0.0,-75.26,7239,5,0.0,0.0
1,952.6,0:17.147,251.6,70.6,0.0,-72.78,7114,5,0.0,0.0
1,958.2,0:17.248,250.9,70.4,0.0,-70.9,7026,5,0.0,0.0
1,963.9,0:17.351,250.4,70.2,0.0,-68.81,6937,5,0.0,0.0
1,969.6,0:17.453,250.0,70.1,0.0,-66.59,6851,5,0.0,0.0
1,978.1,0:17.606,249.6,70.0,0.0,-63.02,6732,5,0.0,0.0
1,983.8,0:17.708,249.5,70.1,0.0,-60.5,6665,5,0.0,0.0
1,989.4,0:17.809,249.5,70.2,0.0,-57.92,6609,5,0.0,0.0
1,997.9,0:17.963,249.6,70.5,0.0,-53.88,6554,5,0.0,0.0
1,1003.6,0:18.064,249.8,70.8,0.0,-51.19,6537,5,0.0,0.0
1,1009.3,0:18.167,250.0,71.2,0.0,-48.44,6537,5,0.0,0.0
1,1017.7,0:18.319,250.5,71.9,0.0,-44.39,6567,5,0.0,0.0
1,1023.4,0:18.422,250.8,72.5,0.0,-41.7,6607,5,0.0,0.0
1,1029.1,0:18.524,251.1,73.1,0.0,-39.09,6660,5,0.0,0.0
1,1037.6,0:18.677,251.5,74.1,0.0,-35.35,6761,5,0.0,0.0
1,1043.3,0:18.780,251.8,74.9,0.0,-32.96,6838,5,0.0,0.0
1,1048.9,0:18.881,252.0,75.6,0.0,-30.74,6919,5,0.0,10.0
1,1054.7,0:18.984,252.0,76.5,0.0,-28.63,7000,5,0.0,11.7
1,1063.2,0:19.137,252.0,77.8,0.0,-25.8,7117,5,0.0,18.6
1,1068.9,0:19.240,251.9,78.8,0.0,-24.13,7185,5,0.0,21.9
1,1074.6,0:19.342,251.6,79.7,0.0,-22.68,7243,5,0.0,23.5
1,1083.1,0:19.495,251.0,81.2,0.0,-20.9,7304,5,0.0,21.9
1,1088.7,0:19.597,250.4,82.3,0.0,-20.0,7324,5,0.0,18.2
1,1094.3,0:19.698,249.6,83.3,0.0,-19.34,7327,5,0.0,13.0
1,1102.9,0:19.852,248.3,84.9,0.0,-18.81,7297,5,0.0,10.0
1,1108.5,0:19.953,247.2,85.9,0.0,-18.78,7254,5,0.0,10.0
1,1114.2,0:20.055,246.0,87.0,0.0,-19.01,7195,5,0.0,10.0
1,1122.7,0:20.209,244.0,88.5,0.0,-19.86,7077,5,0.0,10.0
1,1128.3,0:20.310,242.5,89.5,0.0,-20.75,6983,5,0.0,10.0
1,1134.1,0:20.413,240.9,90.5,0.0,-21.93,6880,5,0.0,10.0
1,1142.5,0:20.565,238.3,92.0,0.0,-24.15,6716,5,0.0,11.1
1,1148.2,0:20.667,236.6,92.9,0.0,-25.97,6606,5,0.0,18.0
1,1153.9,0:20.770,234.7,93.7,0.0,-28.07,6498,5,0.0,23.9
1,1159.5,0:20.871,232.9,94.6,0.0,-30.36,6396,5,0.0,27.7
1,1168.1,0:21.025,230.1,95.7,0.0,-34.31,6261,5,0.0,28.1
1,1173.7,0:21.127,228.2,96.4,0.0,-37.2,6187,5,0.0,24.7
1,1179.4,0:21.229,226.4,97.1,0.0,-40.31,6128,5,0.0,18.9
1,1187.9,0:21.382,223.8,97.9,0.0,-45.33,6071,5,0.0,10.0
1,1193.6,0:21.484,222.1,98.4,0.0,-48.89,6054,5,0.0,10.0
1,1199.2,0:21.585,204.7,64.6,35.4,-52.58,5773,4,0.0,0.0
1,1204.9,0:21.688,200.6,62.7,37.3,-56.48,5743,4,0.0,0.0
1,1213.3,0:21.840,194.6,59.8,40.2,-62.46,5723,4,0.0,0.0
1,1219.1,0:21.943,190.6,57.9,42.1,-66.64,5721,4,0.0,0.0
1,1224.7,0:22.045,186.5,55.9,44.1,-70.85,5725,4,0.0,0.0
1,1233.2,0:22.198,180.5,53.0,47.0,-77.26,5738,4,0.0,0.0
1,1238.9,0:22.301,176.4,51.1,48.9,-81.61,5744,4,0.0,0.0
1,1244.6,0:22.402,172.4,49.2,50.8,-85.88,5747,4,0.0,0.0
1,1250.2,0:22.504,168.4,47.3,52.7,-90.17,5742,4,0.0,0.0
1,1258.8,0:22.658,162.3,44.4,55.6,-96.56,5714,4,0.0,0.0
1,1264.4,0:22.759,158.3,42.4,57.6,-100.66,5681,4,0.0,0.0
1,1270.1,0:22.862,154.3,40.5,59.5,-104.74,5631,3,0.0,0.0
1,1278.6,0:23.014,148.3,37.6,62.4,-110.55,5528,3,28.8,0.0
1,1284.3,0:23.117,144.2,35.7,64.3,-114.3,5439,3,37.3,0.0
1,1289.9,0:23.219,140.2,33.8,66.2,-117.85,5335,3,40.0,0.0
1,1298.4,0:23.372,134.2,30.9,69.1,-122.81,5154,3,35.2,0.0
1,1304.1,0:23.474,130.1,28.9,71.1,-125.86,5019,3,31.9,0.0
1,1309.7,0:23.575,126.1,27.0,73.0,-128.65,4876,3,33.5,0.0
1,1318.3,0:23.729,120.1,24.1,75.9,-132.43,4651,3,46.5,0.0
1,1323.9,0:23.830,116.1,22.2,77.8,-134.57,4501,3,57.6,0.0
1,1329.6,0:23.933,112.0,20.3,79.7,-136.48,4351,3,65.4,0.0
1,1338.1,0:24.086,106.0,17.4,82.6,-138.75,4139,3,66.0,0.0
1,1343.7,0:24.187,102.0,15.5,84.5,-139.87,4010,2,61.7,0.0
1,1349.4,0:24.290,104.1,16.5,83.5,-140.68,4000,3,53.7,0.0
1,1357.9,0:24.442,110.1,19.3,80.7,-141.28,4063,3,49.4,0.0
1,1363.6,0:24.545,114.2,21.3,78.7,-141.26,4125,3,52.7,0.0
1,1369.2,0:24.646,118.1,23.2,76.8,-140.9,4202,3,56.7,0.0
1,1374.9,0:24.749,122.2,25.1,74.9,-140.2,4296,3,56.7,0.0
1,1383.4,0:24.901,128.2,28.0,72.0,-138.53,4463,3,45.8,0.0
1,1389.1,0:25.004,132.3,30.0,70.0,-136.96,4591,3,34.5,0.0
1,1394.7,0:25.105,136.3,31.9,68.1,-135.1,4728,3,25.5,0.0
1,1403.3,0:25.259,142.3,34.8,65.2,-131.64,4948,3,22.4,0.0
